Status,Side,Section,Row,Col,Source Name,Source Last5,Resolved UPC,Resolved Name,Resolved CPP,Cell X0,Cell Top,Cell X1,Cell Bottom
RESOLVED,A,bonus,6,4,DARDEN $25 MD,11474,019674211474,DARDEN $25 MD,20,274.06,489.64,301.67,525.4
RESOLVED,A,bonus,6,5,OLIVE GARDEN $50 MD,11470,019674211470,OLIVE GARDEN $50 MD,20,301.67,489.64,329.22,525.4
RESOLVED,A,bonus,6,6,OUTBACK VGC REG,10449,019674210449,OUTBACK VGC MD,30,329.22,489.64,355.91,525.4
RESOLVED,A,bonus,6,7,CRACKER BARREL $25 REG,10569,019674210569,CRACKER BARREL $25 MD,30,355.91,489.64,381.86,525.4
RESOLVED,A,bonus,6,8,IHOP VGC PROMO MD,10588,019674210588,IHOP VGC PROMO MD,30,381.86,489.64,407.46,525.4
RESOLVED,A,bonus,6,9,SUBWAY $25 REG,10778,019674210778,SUBWAY $25 MD,30,407.46,489.64,430.81,525.4
RESOLVED,A,bonus,7,0,POPEYE'S VGC $15- $250 REG,11026,019674211026,POPEYE'S VGC $15-$250 MD,30,160.71,525.4,187.55,561.6
RESOLVED,A,bonus,7,1,COLD STONE MP MD HOLIDAY,10787,019674210787,COLD STONE MP MD HOLIDAY,10,187.55,525.4,215.55,561.6
RESOLVED,A,bonus,7,2,ZAXBYS VGC S HOLIDAY,07303,019674207303,ZAXBYS VGC HOLIDAY,20,215.55,525.4,245.01,561.6
RESOLVED,A,bonus,7,3,SONIC VGC REG,11251,019674211251,SONIC VGC MD,20,245.01,525.4,274.06,561.6
RESOLVED,A,bonus,7,4,DARDEN $50 MD,11475,019674211475,DARDEN $50 MD,20,274.06,525.4,301.67,561.6
RESOLVED,A,bonus,7,5,RED LOBSTER VGC REG,11150,019674211150,RED LOBSTER VGC MD,30,301.67,525.4,329.22,561.6
RESOLVED,A,bonus,7,6,OUTBACK $50 REG,10452,019674210452,OUTBACK $50 MD,30,329.22,525.4,355.91,561.6
RESOLVED,A,bonus,7,7,GOLDEN CORRAL VGC REG,10854,019674210854,GOLDEN CORRAL VGC MD,20,355.91,525.4,381.86,561.6
RESOLVED,A,bonus,7,8,JIMMY JOHNS VGC REG,11248,019674211248,JIMMY JOHNS VGC MD,20,381.86,525.4,407.46,561.6
RESOLVED,A,bonus,7,9,DOMINOS VGC REG,10624,019674210624,DOMINOS VGC MD,30,407.46,525.4,430.81,561.6
RESOLVED,A,bonus,8,0,CHIPOTLE VGC REG,10648,019674210648,CHIPOTLE VGC MD,30,160.71,561.6,187.55,597.85
RESOLVED,A,bonus,8,1,HARDEES VGC REG,11256,019674211256,HARDEES VGC MD,20,187.55,561.6,215.55,597.85
RESOLVED,A,bonus,8,2,ZAXBYS VGC HOLIDAY,07303,019674207303,ZAXBYS VGC HOLIDAY,20,215.55,561.6,245.01,597.85
RESOLVED,A,bonus,8,3,LONGHORN STEAKHOUSE VGC MD,11473,019674211473,LONGHORN STEAKHOUSE VGC MD,20,245.01,561.6,274.06,597.85
RESOLVED,A,bonus,8,4,LONGHORN STEAKHOUSE $50 MD,11472,019674211472,LONGHORN STEAKHOUSE $50 MD,20,274.06,561.6,301.67,597.85
RESOLVED,A,bonus,8,5,RED LOBSTER VGC REG,11150,019674211150,RED LOBSTER VGC MD,30,301.67,561.6,329.22,597.85
RESOLVED,A,bonus,8,6,RED ROBIN VGC REG,11006,019674211006,RED ROBIN VGC MD,30,329.22,561.6,355.91,597.85
RESOLVED,A,bonus,8,7,FIVE GUYS VGC REG,10726,019674210726,FIVE GUYS VGC MD,30,355.91,561.6,381.86,597.85
RESOLVED,A,bonus,8,8,FIREHOUSE SUBS VGC REG,10310,019674210310,FIREHOUSE SUBS VGC MD,30,381.86,561.6,407.46,597.85
RESOLVED,A,bonus,8,9,JERSEY MIKES VGC REG,10652,019674210652,JERSEY MIKES VGC MD,20,407.46,561.6,430.81,597.85
RESOLVED,B,middle_band,0,4,(10-500),36593,019594936593,APPLE VGC (10-500),20,256.45,251.71,283.07,266.65
RESOLVED,B,middle_band,0,5,AP3P6L5E9 $525,36595,019594936595,APPLE $25,20,283.07,251.71,309.6,266.65
RESOLVED,B,middle_band,0,6,VGGOCO RGELGE,09969,019674209969,GOOGLE VGC MD,30,309.6,251.71,335.69,266.65
RESOLVED,B,middle_band,0,7,VGC,16348,019674216348,ZIFT HOLIDAY VGC,20,335.69,251.71,362.07,266.65
RESOLVED,B,middle_band,1,0,Wonder Tree $50,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,20,163.5,266.65,182.91,285.28
RESOLVED,B,middle_band,1,1,e $20-500,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,182.91,266.65,204.4,285.28
RESOLVED,B,middle_band,1,9,Santa $25,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,390.14,266.65,417.96,285.28
RESOLVED,B,middle_band,1,10,Snowman $50,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,417.96,266.65,444.48,285.28
RESOLVED,B,middle_band,2,4,APPLE $50,36596,019594936596,APPLE $50,20,256.45,285.28,283.07,302.98
RESOLVED,B,middle_band,2,5,APPLE $100,36597,019594936597,APPLE $100,20,283.07,285.28,309.6,302.98
RESOLVED,B,middle_band,2,6,GOOGLE $25 REG,09974,019674209974,GOOGLE $25 MD,30,309.6,285.28,335.69,302.98
RESOLVED,B,middle_band,2,7,ZIFT HOLIDAY $25,16346,019674216346,ZIFT HOLIDAY $25,20,335.69,285.28,362.07,302.98
RESOLVED,B,middle_band,3,0,$20-500,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,163.5,302.98,182.91,321.98
RESOLVED,B,middle_band,3,1,Wreath $20,16886,019674216886,WMT MC P Hol 2026 Striped Wreath $20-500,20,182.91,302.98,204.4,321.98
RESOLVED,B,middle_band,3,9,$20-500,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,390.14,302.98,417.96,321.98
RESOLVED,B,middle_band,3,10,$20-500,16895,019674216895,WMT VV P Hol 2026 Fancy Green $20-500,20,417.96,302.98,444.48,321.98
RESOLVED,B,middle_band,4,4,DISNEY VGC REG,10902,019674210902,DISNEY VGC MD,20,256.45,321.98,283.07,340.82
RESOLVED,B,middle_band,4,5,DISNEY VGC REG,10902,019674210902,DISNEY VGC MD,20,283.07,321.98,309.6,340.82
RESOLVED,B,middle_band,4,6,GOOGLE $50 REG,09976,019674209976,GOOGLE $50 MD,30,309.6,321.98,335.69,340.82
RESOLVED,B,middle_band,4,7,ZIFT HOLIDAY $50,16347,019674216347,ZIFT HOLIDAY $50,20,335.69,321.98,362.07,340.82
RESOLVED,B,middle_band,5,0,Sa1n6t8a8 $525,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,163.5,340.82,182.91,371.76
RESOLVED,B,middle_band,5,1,Sno$w5m0an,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,182.91,340.82,204.4,371.76
RESOLVED,B,middle_band,5,9,Wrea5t0h0 $20-,16886,019674216886,WMT MC P Hol 2026 Striped Wreath $20-500,20,390.14,340.82,417.96,371.76
RESOLVED,B,middle_band,5,10,,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,417.96,340.82,444.48,371.76
RESOLVED,B,bonus,6,3,AMC $30 VA HOLIDAY,10812,019674210812,AMC $30 VA HOLIDAY,30,229.66,371.76,256.45,402.48
RESOLVED,B,bonus,6,4,RED LOBSTER $100 VA,16587,019674216587,RED LOBSTER $100 VA,20,256.45,371.76,283.07,402.48
RESOLVED,B,bonus,6,6,NUS PANDA EXPRESS VGC VA,16316,019674216316,PANDA EXPRESS VGC VA,30,309.6,371.76,335.69,402.48
RESOLVED,B,bonus,6,7,PIZZA HUT $50MP VA,16659,019674216659,KFC VGC VA,10,335.69,371.76,362.07,402.48
RESOLVED,B,bonus,7,5,Value VA ZIFT A GIFT,12288,019674212288,"CHUCK E CHEESE $25;1,000 e-Tickets$10 Value VA",30,283.07,402.48,309.6,421.4
RESOLVED,B,bonus,7,8,GWP VA ROBLOX,12248,019674212248,"Starbucks VGC ($25-$500), Gift Card Holder GWP VA",30,362.07,402.48,390.14,421.4
RESOLVED,B,bonus,8,1,FL PLUSS $99.99,16548,019674216548,NFL PLUSS $99.99,30,182.91,421.4,204.4,452.1
RESOLVED,B,bonus,8,2,FAVNGDCA RNEGGO,10128,019674210128,FANDANGO VGC MD,20,204.4,421.4,229.66,452.1
RESOLVED,B,bonus,8,3,DISNEY + VGC REG,14703,019674214703,DISNEY + VGC REG,20,229.66,421.4,256.45,452.1
RESOLVED,B,bonus,8,4,UBER VGC REG,09909,019674209909,UBER VGC MD,30,256.45,421.4,283.07,452.1
RESOLVED,B,bonus,8,5,ZFIFOTR A Y GOIUFT (CORE) VGC,16172,019674216172,ZIFT (CORE) VGC,20,283.07,421.4,309.6,452.1
RESOLVED,B,bonus,8,6,ZFIFOTR A Y GOIUFT (CORE) $25,16170,019674216170,ZIFT (CORE) $25,20,309.6,421.4,335.69,452.1
RESOLVED,B,bonus,8,7,ZFIFOTR A Y GOIUFT (CORE) $50,16171,019674216171,ZIFT (CORE) $50,20,335.69,421.4,362.07,452.1
RESOLVED,B,bonus,8,8,BLRAOCBKL VOGXC REG,10023,019674210023,ROBLOX BLACK VGC MD,30,362.07,421.4,390.14,452.1
RESOLVED,B,bonus,8,9,CVAGRCL ('$S 1J5R-. $100) REG,11802,019674211802,CARL'S JR. VGC ($15-$100) MD,20,390.14,421.4,417.96,452.1
RESOLVED,B,bonus,8,10,MCVDGOCN MADLDS,11156,019674211156,MCDONALDS VGC MD,30,417.96,421.4,444.48,452.1
RESOLVED,B,bonus,9,1,OKEMON GO $25,08350,019674208350,POKEMON GO $25,20,182.91,452.1,204.4,488.31
RESOLVED,B,bonus,9,2,D/F DINNER&MOV IE$50 REG,11593,019674211593,D/F DINNER&MOVIE$50 MD,20,204.4,452.1,229.66,488.31
RESOLVED,B,bonus,9,3,HULU VGC REG,10913,019674210913,HULU VGC MD,20,229.66,452.1,256.45,488.31
RESOLVED,B,bonus,9,4,DOOR DASH VGC REG,09989,019674209989,DOOR DASH VGC MD,30,256.45,452.1,283.07,488.31
RESOLVED,B,bonus,9,5,META QUEST VGC REG,09997,019674209997,META QUEST VGC MD,20,283.07,452.1,309.6,488.31
RESOLVED,B,bonus,9,6,PLAYSTATION VGC,13363,019674213363,PLAYSTATION VGC,30,309.6,452.1,335.69,488.31
RESOLVED,B,bonus,9,7,XBOX VGC (10-250),04015,019674204015,XBOX VGC (10-250),30,335.69,452.1,362.07,488.31
RESOLVED,B,bonus,9,8,ROBLOX BLACK VGC REG,10023,019674210023,ROBLOX BLACK VGC MD,30,362.07,452.1,390.14,488.31
RESOLVED,B,bonus,9,9,TACO BELL VGC REG,11053,019674211053,TACO BELL VGC MD,30,390.14,452.1,417.96,488.31
RESOLVED,B,bonus,9,10,MCDONALDS VGC MD,11156,019674211156,MCDONALDS VGC MD,30,417.96,452.1,444.48,488.31
RESOLVED,B,bonus,10,1,OKEMON GO $25,08350,019674208350,POKEMON GO $25,20,182.91,488.31,204.4,524.44
RESOLVED,B,bonus,10,2,AMC VGC REG,10635,019674210635,AMC VGC MD,30,204.4,488.31,229.66,524.44
RESOLVED,B,bonus,10,3,NETFLIX VGC REG,09913,019674209913,NETFLIX VGC MD,20,229.66,488.31,256.45,524.44
RESOLVED,B,bonus,10,4,AIRBNB VGC REG,09914,019674209914,AIRBNB VGC MD,20,256.45,488.31,283.07,524.44
RESOLVED,B,bonus,10,5,FORTNITE VGC,11917,019674211917,FORTNITE VGC,20,283.07,488.31,309.6,524.44
RESOLVED,B,bonus,10,6,PLAYSTATION $25 REG,10282,019674210282,PLAYSTATION $25 MD,30,309.6,488.31,335.69,524.44
RESOLVED,B,bonus,10,7,XBOX VGC (10-250),04015,019674204015,XBOX VGC (10-250),30,335.69,488.31,362.07,524.44
RESOLVED,B,bonus,10,8,ROBLOX BLACK $25 REG,10026,019674210026,ROBLOX BLACK $25 MD,30,362.07,488.31,390.14,524.44
RESOLVED,B,bonus,10,9,Taco Bell $25 REG,10958,019674210958,Taco Bell $25 MD,30,390.14,488.31,417.96,524.44
RESOLVED,B,bonus,10,10,MCDONALDS $25 HOLIDAY,11159,019674211159,MCDONALDS $25 HOLIDAY,30,417.96,488.31,444.48,524.44
RESOLVED,B,bonus,11,1,TOP GOLF VGC REG,10092,019674210092,TOP GOLF VGC MD,30,182.91,524.44,204.4,560.7
RESOLVED,B,bonus,11,2,AMC VGC REG,10635,019674210635,AMC VGC MD,30,204.4,524.44,229.66,560.7
RESOLVED,B,bonus,11,3,WHAT A BURGER $15 MD,11964,019674211964,WHAT A BURGER $15 MD,30,229.66,524.44,256.45,560.7
RESOLVED,B,bonus,11,4,NINTENDO $20 REG,10224,019674210224,NINTENDO $20 MD,20,256.45,524.44,283.07,560.7
RESOLVED,B,bonus,11,5,FORTNITE VGC,11917,019674211917,FORTNITE VGC,20,283.07,524.44,309.6,560.7
RESOLVED,B,bonus,11,6,PLAYSTATION $50 REG,10283,019674210283,PLAYSTATION $50 MD,30,309.6,524.44,335.69,560.7
RESOLVED,B,bonus,11,7,XBOX $25,35577,079936635577,XBOX $25,30,335.69,524.44,362.07,560.7
RESOLVED,B,bonus,11,8,ROBLOX BLACK $50 REG,10025,019674210025,ROBLOX BLACK $50 MD,30,362.07,524.44,390.14,560.7
RESOLVED,B,bonus,11,9,ARBYS B VGC REG,11241,019674211241,ARBYS VGC MD,20,390.14,524.44,417.96,560.7
RESOLVED,B,bonus,11,10,BURGER KING VGC REG,11033,019674211033,BURGER KING VGC MD,30,417.96,524.44,444.48,560.7
RESOLVED,B,bonus,12,1,CHUCK E HEESE VGC REG,11027,019674211027,CHUCK E CHEESE VGC MD,30,182.91,560.7,204.4,597.53
RESOLVED,B,bonus,12,2,REGAL CINEMAS VGC REG,11066,019674211066,REGAL CINEMAS VGC MD,30,204.4,560.7,229.66,597.53
RESOLVED,B,bonus,12,3,LOGAN'S ROADHOUSE VGC,16454,019674216454,LOGAN'S ROADHOUSE VGC,30,229.66,560.7,256.45,597.53
RESOLVED,B,bonus,12,4,NINTENDO $20 REG,10224,019674210224,NINTENDO $20 MD,20,256.45,560.7,283.07,597.53
RESOLVED,B,bonus,12,5,FORTNITE $30,11914,019674211914,FORTNITE $30,20,283.07,560.7,309.6,597.53
RESOLVED,B,bonus,12,6,PLAYSTATION $100 REG,10285,019674210285,PLAYSTATION $100 MD,30,309.6,560.7,335.69,597.53
RESOLVED,B,bonus,12,7,XBOX $50,35580,079936635580,XBOX $50,30,335.69,560.7,362.07,597.53
RESOLVED,B,bonus,12,8,DAIRY QUEEN VGC MD,10857,019674210857,DAIRY QUEEN VGC MD,20,362.07,560.7,390.14,597.53
RESOLVED,B,bonus,12,9,ARBYS VGC REG,11241,019674211241,ARBYS VGC MD,20,390.14,560.7,417.96,597.53
RESOLVED,B,bonus,12,10,WENDYS VGC HOLIDAY REG,11271,019674211271,WENDYS VGC HOLIDAY MD,30,417.96,560.7,444.48,597.53
RESOLVED,C,middle_band,0,0,WHMoTli dMaCy P WH 2026 St Wonder Tree $50 WMT VV P W,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,20,169.41,252.49,196.25,287.89
RESOLVED,C,middle_band,0,1,WHMolT 2 M02C6 P triped Tree $20-500 WMT VV P,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,196.25,252.49,224.6,287.89
RESOLVED,C,middle_band,0,3,ROATDEXHAOSUSE VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,253.41,252.49,281.46,287.89
RESOLVED,C,middle_band,0,4,ROATDEXHAOSUSE $25 REG TEXAS,10603,019674210603,TEXAS ROADHOUSE $25 MD,30,281.46,252.49,309.06,287.89
RESOLVED,C,middle_band,0,5,STARBUCKS VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,309.06,252.49,336.59,287.89
RESOLVED,C,middle_band,0,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,336.59,252.49,364.28,287.89
RESOLVED,C,middle_band,0,8,WHMoTli dMaCy P 2026 Nice Santa $25 WMT VV P,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,392.81,252.49,421.18,287.89
RESOLVED,C,middle_band,0,9,WHMoTli dMaCy P 2026 Nice Snowman $50 WMT VV P,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,421.18,252.49,448.03,287.89
RESOLVED,C,middle_band,1,0,WMT VV P W Hol 2026 H Fancy Red Fa $20-500 WMT MC P W,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,169.41,287.89,196.25,324.21
RESOLVED,C,middle_band,1,1,WMT VV P Hol 2026 ancy Gold $20-500 WMT AMEX,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,20,196.25,287.89,224.6,324.21
RESOLVED,C,middle_band,1,3,TEXAS ROADHOUSE VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,253.41,287.89,281.46,324.21
RESOLVED,C,middle_band,1,4,TEXAS ROADHOUSE $50 REG TEXAS,10604,019674210604,TEXAS ROADHOUSE $50 MD,30,281.46,287.89,309.06,324.21
RESOLVED,C,middle_band,1,5,STARBUCKS VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,309.06,287.89,336.59,324.21
RESOLVED,C,middle_band,1,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,336.59,287.89,364.28,324.21
RESOLVED,C,middle_band,1,8,WMT VV P Hol 2026 Fancy Gold $20-500 WMT MC P,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,20,392.81,287.89,421.18,324.21
RESOLVED,C,middle_band,1,9,WMT VV P Hol 2026 Fancy Green $20-500 WMT MC P,16895,019674216895,WMT VV P Hol 2026 Fancy Green $20-500,20,421.18,287.89,448.03,324.21
RESOLVED,C,middle_band,2,0,WMT MC P W Hol 2026 H triped Gift Fa $20-500,16887,019674216887,WMT MC P Hol 2026 Striped Gift $20-500,20,169.41,324.21,196.25,371.12
RESOLVED,C,middle_band,2,1,WMT AMEX Hol 2026 ancy White $20-500,16893,019674216893,WMT AMEX Hol 2026 Fancy White $20-500,20,196.25,324.21,224.6,371.12
RESOLVED,C,middle_band,2,3,TEXAS ROADHOUSE VGC REG,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,253.41,324.21,281.46,371.12
RESOLVED,C,middle_band,2,4,TEXAS ROADHOUSE $100 REG BON,10605,019674210605,TEXAS ROADHOUSE $100 MD,30,281.46,324.21,309.06,371.12
